id,name,slogan,description,category,default_price
108,"Claud Suit","Iusto eaque ipsam.","Quos deleniti possimus ab quo dolorum. Excepturi placeat maxime quia a consequuntur. Neque sint dolorem quo repellat est laudantium illum in architecto. Sit et magni libero totam dolore. Tempora harum exercitationem officia velit in. Sunt voluptatem amet modi dolorem omnis.","Suit",945
109,"Hilbert 0 Pants","Aut odio eos illo exercitationem porro modi quas sit reiciendis.","Consequatur consequatur et. Explicabo molestiae rerum aut totam et. Quos unde dolorem est et sed itaque unde impedit laboriosam.","Pants",385
110,"The Laila Skirt","Laudantium vel dolore facilis et et temporibus doloremque.","Ipsa eligendi dolorem sit est occaecati. Cupiditate voluptatem necessitatibus. Asperiores et sint porro ipsam omnis illum. Maxime delectus debitis beatae ipsum ipsum rerum.","Skirt",441
111,"Trycia Skirt","Voluptas autem nostrum assumenda vel.","Repellat aut magni enim est molestias sequi. Accusantium et et ipsa dolor maiores expedita possimus. Qui illum perspiciatis dolores dolores. Eligendi omnis necessitatibus necessitatibus. Sit vel beatae totam sapiente neque necessitatibus eaque. Aut ab iste rerum impedit voluptatem voluptates perspiciatis.","Skirt",967
112,"Salma 0 Slacks","Et laborum exercitationem molestiae.","Quas illum ut consequatur voluptatem voluptates sunt earum. Nam et voluptatum et autem saepe ut esse nesciunt. Qui est blanditiis possimus explicabo non doloremque similique. Omnis ut laudantium consequatur at praesentium odit sunt nihil. Tenetur necessitatibus consequatur odio aut nam nam deleniti. Sed quia omnis sit perspiciatis ipsum.","Slacks",647
113,"Estrella Sweater","Voluptate autem est est tenetur id itaque ea.","Nihil iusto at necessitatibus laborum ea soluta. Commodi ea illo facilis. Quia ut veritatis libero rerum.","Sweater",774
114,"Sabryna Shoes","Beatae molestias eligendi molestiae.","Nam natus et tempore. Assumenda quia quia. Nemo necessitatibus saepe ut est debitis aut. Vitae doloremque quia. Sit vel doloribus modi rem recusandae aut. Suscipit dicta natus.","Shoes",388
115,"Charlotte 50 Cap","A qui ad dolore ex voluptatem nulla ad.","Enim sint dolor. Excepturi blanditiis labore sunt reiciendis non. Animi inventore facere culpa est officia illo et rerum dolor.","Cap",418
116,"Jonathon Backpack","Similique assumenda earum dolore nostrum et.","Est natus exercitationem distinctio architecto quo id ullam. Reiciendis est consequatur. Enim accusamus autem voluptatem ex tempora voluptas. At inventore tempora quia. Facilis aut reprehenderit consequatur est. Ut pariatur harum et.","Backpack",195
117,"Mercedes Backpack","Et pariatur deleniti magni aliquam nobis sunt alias.","Voluptas fuga velit. Dolorem tempore in quos laudantium non quis sit quos. Mollitia non cupiditate. Quia saepe et mollitia et eos rem tenetur ducimus ipsa. Beatae magni est ut ipsam impedit ullam et. Quo aut excepturi aut eveniet dolorem.","Backpack",285
118,"Beryl Trousers","Sit qui recusandae aliquid voluptatum sit officiis sed blanditiis accusamus.","Est voluptate rem. Quo accusamus et et. Optio optio natus qui autem rem eaque.","Trousers",821
119,"Magnolia Slacks","Beatae iste distinctio autem.","Impedit fugit temporibus quos facere explicabo corporis nihil quasi voluptas. Ea ea et consectetur error ullam quis quae est sequi. Ut quia ducimus et sint et. Commodi nesciunt qui dolores voluptates qui et consequuntur sed vel. Odio earum voluptas eveniet nesciunt libero.","Slacks",136
120,"Mervin Jacket","Sunt aut soluta dolor vel corporis quia et soluta.","Aut dolorem quasi magnam sit temporibus neque corrupti et magni. Vitae ipsa aut ea recusandae explicabo earum commodi. Laboriosam vitae possimus sunt laudantium molestiae voluptate suscipit sed blanditiis. Quod dolorum amet iure voluptatem cumque provident consequatur. Dicta numquam nemo consequatur sit ad eligendi.","Jacket",584
121,"Mittie Sweater","Sed maxime debitis vero assumenda.","Fugiat illo consectetur facilis unde. Qui molestiae iure. Corporis nostrum porro distinctio aut exercitationem unde atque. Quae voluptate voluptatem minus voluptatem quasi maxime officiis aut.","Sweater",937
122,"Boris Romper","Voluptatem quia aut molestiae odio.","Ullam porro sed commodi incidunt iste rem explicabo. Quasi magni vel dignissimos dolorem. Ad quas aliquid nihil ipsum reprehenderit aperiam consequatur dolores est. Autem quibusdam reprehenderit maiores consequatur quis nostrum quia.","Romper",983
123,"Elaina Slacks","Maxime est autem alias quae odit voluptatem.","Laborum quibusdam quo quod voluptas nemo facere culpa molestiae. Et non velit quidem ratione commodi perspiciatis molestiae rerum. Dignissimos consequatur tempora. Repellat eos distinctio incidunt.","Slacks",969
124,"Marilou Coat","Et corporis consectetur velit quia sint non voluptas voluptas voluptates.","Necessitatibus sed sequi voluptas eligendi ipsum. Qui debitis placeat id quos id nihil nisi. Qui dolores exercitationem facere consequatur debitis reiciendis. Quae est tempora.","Coat",479
125,"Misael Sweater","Consequatur nihil deserunt quo laudantium corporis ut ut.","Voluptatem alias doloribus voluptatem ut et. Voluptas omnis aut in iure quis quo et dolore adipisci. Reiciendis quae sapiente accusamus ipsam eum saepe. Eum fuga rerum quam iusto omnis est minus.","Sweater",598
126,"Eveline Suit","Dolores fugit quo qui dolorum ea sit doloribus voluptate et.","Voluptatibus vel numquam ut voluptas magnam dolorum. Et aut et qui sit vel deserunt est distinctio nostrum. Beatae quasi et nostrum non mollitia at. Laboriosam dicta minus quis nobis quaerat natus repudiandae. Nemo eaque quasi soluta sit tempora. Sed voluptatem eius quas esse perferendis non nam incidunt perspiciatis.","Suit",354
127,"Madie 0 Hoodie","Consequuntur dolorem consectetur.","Animi quidem eveniet molestiae voluptatem in nulla autem veniam nisi. Eos rerum optio repellendus recusandae doloribus consequuntur sequi fuga. Est accusantium eos fuga eius vitae aut est. Corrupti vero nemo reiciendis quia et. Aliquam itaque ut deserunt est commodi qui qui saepe. Asperiores cum ea excepturi.","Hoodie",581
128,"Franco Pants","Qui similique nihil.","Aliquid aspernatur consequatur provident reprehenderit assumenda ipsum harum eius. Dolorum voluptates explicabo optio aut ratione. Dolores ea quia dolor consequuntur nam aut asperiores. Et aut quibusdam debitis quaerat est nam nobis. Minus delectus praesentium voluptas sint ut ducimus molestiae qui nobis.","Pants",679
129,"Fabian Shirt","Reiciendis ex qui.","Magnam assumenda voluptas in expedita et cupiditate dolorum sed. Sed quibusdam dolorem voluptatum quis omnis non illo ut. Distinctio cum facere atque deserunt dignissimos et.","Shirt",61
130,"The Niko Socks","Maiores et ut quibusdam soluta debitis dolorem.","Ipsam pariatur sed et. Est eveniet dolorem minima temporibus ab. Omnis vel dignissimos doloremque adipisci illum. Minus rerum ab rerum.","Socks",18
131,"Thad Suit","Amet voluptate cum.","Nam molestiae veniam corrupti inventore et minima eius aut. Ut aliquid vel tempore ullam labore voluptatem dolores veritatis. Quia eum consectetur quis debitis. Eos sequi fugit qui delectus sint. Illum quas et eos. Illum suscipit non hic cupiditate quis et.","Suit",370
132,"Raina Tank Top","Et id fuga voluptatem veritatis magnam molestiae.","Voluptas consectetur aut libero et officiis culpa vel aut in. Quaerat ducimus explicabo quod nisi iure est. Earum sed quo. Id sint vitae temporibus accusamus impedit ut iste repellendus earum.","Tank Top",968
133,"Michelle Shirt","Maxime aliquam eius.","Provident totam velit consequatur aut harum molestiae. Quia et quia voluptatem ullam quisquam. Ea nemo odio enim ab voluptas. Maxime ut ex. Et doloribus temporibus voluptas rerum aut culpa veniam ducimus et. Rerum at placeat aut ipsam consequatur quis.","Shirt",781
134,"Lavonne Dress","Consequatur quia repudiandae rerum voluptatem.","Esse eum nobis molestias quia omnis. Perferendis sit incidunt quis blanditiis. Odit ut aut. Ullam excepturi qui ratione dolor cum. Minima impedit et atque dolores quidem consequatur beatae. Soluta est odio non et labore tempore consequatur rerum voluptas.","Dress",759
135,"Stacey Shorts","Molestias porro a.","Maxime ullam sit fugit ut. Officiis minima et quibusdam soluta. Inventore ullam recusandae consequatur sapiente nemo.","Shorts",927
136,"Greyson Shirt","Blanditiis omnis consequatur voluptatibus impedit.","Et suscipit ullam aut. Est quia dicta voluptas adipisci blanditiis dolorem harum facere. Sapiente eum quia necessitatibus dolores et reprehenderit. Quo qui sed. Aut optio enim ex deserunt dolores eaque eveniet dolorum.","Shirt",854
137,"Dorris Tank Top","Eos iusto expedita aperiam voluptatem.","Velit expedita non possimus cum id aperiam asperiores consequatur. Facilis odit vel sit non quis nobis laboriosam ullam unde. Quis id dignissimos. Quia suscipit voluptatem adipisci culpa qui eius consequuntur laudantium iste.","Tank Top",886
138,"Xzavier Sunglasses","Enim voluptatem blanditiis aut temporibus enim earum quis eum odio.","Consequatur praesentium sequi expedita. Voluptas eius ad et. Magni aut est natus molestiae sed dolore.","Sunglasses",954
139,"The Vernice Sweatpants","Est eos veritatis.","Qui sed voluptas aperiam minus adipisci inventore perferendis quidem. Illo id commodi dolorem fugit consequatur veniam aut mollitia et. Aut et dolorem commodi doloribus sint iste accusantium expedita.","Sweatpants",620
140,"Cara Socks","Esse similique culpa id reprehenderit ad saepe.","Repudiandae voluptatem repudiandae dolor. Reiciendis cupiditate provident animi qui id omnis aut. Perferendis rem autem aliquam non doloribus doloribus eos.","Socks",16
141,"Marcus Sweatpants","Labore tempore eos et placeat fugiat culpa ut.","Et nihil iure possimus perferendis. Dolorem sunt beatae debitis rem cum natus quia molestiae. Iure et voluptatem praesentium iusto cupiditate. Impedit quasi aspernatur vitae a quos aut sit ducimus quasi. Repellat accusantium corrupti sint omnis nam eum. Odit impedit soluta voluptatum voluptas quaerat a sint.","Sweatpants",786
142,"Camryn Boots","Iste corporis magnam.","Rerum impedit illo et autem. Odio ipsam autem vel at et odit doloremque incidunt. Quia exercitationem eum quam. Nobis inventore est rerum nisi. Inventore amet corrupti distinctio nemo.","Boots",936
143,"Khalid Skirt","Quod in quis vel non ratione.","Quas adipisci in repellat quam sint quia vel provident ipsa. Dolor dolorem voluptatem. Delectus dicta illo in ea hic officia similique. Animi distinctio alias fugiat porro nemo voluptatem laudantium. Veritatis aut sit quae voluptatem eaque fuga. Illum voluptas quo aut eos delectus ea inventore aliquid.","Skirt",78
144,"Alvina Pants","Nemo facilis facere soluta.","Facere sint incidunt qui id sed nesciunt fuga earum voluptatem. Quos nesciunt omnis non dolorem accusamus provident ea sint. Voluptatum omnis suscipit debitis.","Pants",74
145,"The Demond Sweatpants","Nisi porro in.","Assumenda nesciunt quis est. Deserunt provident accusantium porro molestiae. Sint molestias qui voluptas voluptate. Laboriosam ipsam maxime quis iste illo consequatur consectetur et ea. Praesentium dolore rem aperiam ut.","Sweatpants",53
146,"Gaston Sunglasses","Magni veritatis fuga ad maiores repellendus ut mollitia maiores.","Et ea autem omnis minus tempora expedita excepturi. Hic eaque doloremque sit in blanditiis sint quae eligendi. Sit beatae ea repellendus rerum nesciunt ea consequatur qui et. Dolor occaecati qui voluptatem voluptas qui odit et.","Sunglasses",59
147,"Margret Backpack","Quasi ut quaerat et.","Alias quis quos a et voluptatem dolor consequatur accusantium ipsum. Consequuntur debitis sit. Quibusdam quis sapiente pariatur exercitationem ratione voluptatem suscipit accusamus. Accusantium voluptate et. Incidunt qui nihil magni. Quia dolorum suscipit autem nam in.","Backpack",128
148,"Mckenna Jacket","Labore magni earum eveniet.","Vero laboriosam consequuntur voluptates. Eum id et et at. Autem delectus consequatur nihil dolorem voluptas maiores nulla rem voluptas. Voluptas id cupiditate reiciendis doloremque culpa debitis commodi repellat. Doloremque ipsum incidunt aut rerum consectetur iure. Nulla nobis sunt corporis est.","Jacket",987
149,"Nadia 0 Suit","Sed alias fuga quod accusantium ducimus omnis.","Soluta velit corporis vel officiis autem. Consequuntur corrupti veniam accusantium molestiae omnis quis ab incidunt. Ea dolores est explicabo quos asperiores ullam dolore nihil. Numquam illo maxime voluptatem.","Suit",574
150,"Kathryn Slacks","Blanditiis voluptatibus voluptatem sunt quas expedita officiis.","Molestias et quo reiciendis perferendis enim. Dolorum ut repellendus. Omnis eos dolores laborum odit illo tempora. Ipsam autem excepturi qui ratione.","Slacks",505
151,"Clair Shorts","Perferendis saepe commodi nam.","Fuga error quos voluptatem quisquam doloremque rerum aliquid aut perferendis. Porro temporibus aut numquam natus nulla similique maxime enim impedit. Aut illo hic. Voluptates voluptatem quas et magnam ullam non sequi. Sed ducimus reiciendis enim et eum molestiae.","Shorts",89
152,"Jennie Romper","Rerum ipsum autem nesciunt modi consequatur accusantium.","Porro voluptas aut rerum eos vero amet. Itaque sed nihil iure et fugiat et et dolorum. Corporis est vitae omnis illum. Enim laborum voluptates natus quos et. Delectus magni voluptas ipsum. Ut illo deleniti iusto delectus ipsam consequuntur.","Romper",946
153,"Burley Jacket","Quos necessitatibus odio suscipit id ullam dolores cupiditate accusantium.","Quos quia accusantium labore est occaecati unde quia. Aut nam praesentium reiciendis rerum. Nesciunt libero quo fugiat voluptatum dolor accusantium nemo sed.","Jacket",773
154,"Freddy Dress","Illum voluptatem deserunt veritatis accusantium qui.","Iure animi molestiae ipsa qui quo. Repellat adipisci dolor aut blanditiis magni recusandae iure ut. A ratione facilis nihil laudantium.","Dress",547
155,"Rowland 50 Cap","Et maiores ut libero eum iste omnis molestias.","Aliquid est dolor officia corrupti cumque blanditiis excepturi adipisci. Blanditiis ut rem veritatis eos totam fugiat quae pariatur ad. Minus sequi ducimus ut adipisci et nihil veritatis minima accusamus.","Cap",969
156,"Carolina Boots","Ullam iusto ratione perferendis reiciendis iste.","Expedita nostrum reprehenderit quo odit est sequi et vitae. Cupiditate ut molestiae nihil dolorem molestiae architecto facere ab et. Consequatur porro et dolorum quos dicta dignissimos aut. Vitae fuga debitis voluptatem et.","Boots",367
157,"Gilda Shorts","Minus dolor ex beatae corporis omnis ipsa laudantium.","Atque voluptatem facilis eaque dolore nihil voluptas. In enim quos necessitatibus aliquid sed. Neque dolores temporibus saepe. Quia sapiente quis placeat illum esse optio. Qui ut dignissimos quibusdam accusamus.","Shorts",997
